FAAR;REGM    ;RKAL  ;FM;FD;DBNR  ;TUR;AM;AD;AH  ;LM;LD;LH  ;RE; MA;HA;   VAR;OMRA   ;OKSO;HO;LO;   LENG;BTON;TENH;HEST;FISK;       VEKT
2019;N 0020MS;3YCU  ;01;02;      ;   ;  ;  ;    ;  ;  ;    ;61;140;03;  5.53;IIa    ;NOR;05;24;   36.5; 490;    ;1000;1022;       4200
2019;N 0020MS;3YCU  ;01;02;      ;   ;  ;  ;    ;  ;  ;    ;61;140;03;  5.53;IIa    ;NOR;05;24;   36.5; 490;    ;1000;1032;      21000
2019;N 0020MS;3YCU  ;01;03;      ;   ;  ;  ;    ;  ;  ;    ;61;140;01;  0.73;IIa    ;NOR;05;24;   36.5; 490;    ;1000;1022;        500
2019;N 0020MS;3YCU  ;01;03;      ;   ;  ;  ;    ;  ;  ;    ;61;140;01;  0.73;IIa    ;NOR;05;24;   36.5; 490;    ;1000;1023;        100
2019;N 0020MS;3YCU  ;01;03;      ;   ;  ;  ;    ;  ;  ;    ;61;140;01;  0.73;IIa    ;NOR;05;24;   36.5; 490;    ;1000;1032;      27000
2019;N 0020MS;3YCU  ;01;03;      ;   ;  ;  ;    ;  ;  ;    ;61;140;01;  0.73;IIa    ;NOR;05;24;   36.5; 490;    ;1000;2202;         50
2019;N 0020MS;3YCU  ;01;04;      ;   ;  ;  ;    ;  ;  ;    ;61;140;05;  11.7;IIa    ;NOR;05;24;   36.5; 490;    ;1000;1022;        750
2019;N 0020MS;3YCU  ;01;04;      ;   ;  ;  ;    ;  ;  ;    ;61;140;05;  11.7;IIa    ;NOR;05;24;   36.5; 490;    ;1000;1032;      52000
2019;N 0020MS;3YCU  ;01;04;      ;   ;  ;  ;    ;  ;  ;    ;61;140;05;  11.7;IIa    ;NOR;05;24;   36.5; 490;    ;1000;1023;        250
2019;N 0020MS;3YCU  ;01;05;      ;   ;  ;  ;    ;  ;  ;    ;61;140;03;  7.55;IIa    ;NOR;05;24;   36.5; 490;    ;1000;1022;       1000
2019;N 0020MS;3YCU  ;01;05;      ;   ;  ;  ;    ;  ;  ;    ;61;140;03;  7.55;IIa    ;NOR;05;24;   36.5; 490;    ;1000;1032;      34000
2019;N 0020MS;3YCU  ;01;09;      ;   ;  ;  ;    ;  ;  ;    ;61;140;04;  9.33;IIa    ;NOR;05;24;   36.5; 490;    ;1000;1022;       2500
2019;N 0020MS;3YCU  ;01;09;      ;   ;  ;  ;    ;  ;  ;    ;61;140;04;  9.33;IIa    ;NOR;05;24;   36.5; 490;    ;1000;1032;      24300
2019;N 0020MS;3YCU  ;01;09;      ;   ;  ;  ;    ;  ;  ;    ;61;140;04;  9.33;IIa    ;NOR;05;24;   36.5; 490;    ;1000;1027;        100
2019;N 0020MS;3YCU  ;01;09;      ;   ;  ;  ;    ;  ;  ;    ;61;140;04;  9.33;IIa    ;NOR;05;24;   36.5; 490;    ;1000;1023;         30
2019;N 0020MS;3YCU  ;01;09;      ;   ;  ;  ;    ;  ;  ;    ;61;140;04;  9.33;IIa    ;NOR;05;24;   36.5; 490;    ;1000;2202;         20
2019;N 0020MS;3YCU  ;01;13;      ;   ;  ;  ;    ;  ;  ;    ;61;140;03;  6.48;IIa    ;NOR;05;24;   36.5; 490;    ;1000;1022;       1500
2019;N 0020MS;3YCU  ;01;13;      ;   ;  ;  ;    ;  ;  ;    ;61;140;03;  6.48;IIa    ;NOR;05;24;   36.5; 490;    ;1000;1032;       4500
2019;N 0020MS;3YCU  ;01;14;      ;   ;  ;  ;    ;  ;  ;    ;61;140;03;  5.22;IIa    ;NOR;05;24;   36.5; 490;    ;1000;1022;       1700
2019;N 0020MS;3YCU  ;01;14;      ;   ;  ;  ;    ;  ;  ;    ;61;140;03;  5.22;IIa    ;NOR;05;24;   36.5; 490;    ;1000;1032;       9300
2019;N 0020MS;3YCU  ;01;14;      ;   ;  ;  ;    ;  ;  ;    ;61;140;03;  5.22;IIa    ;NOR;05;24;   36.5; 490;    ;1000;1023;         30
2019;N 0020MS;3YCU  ;01;14;      ;   ;  ;  ;    ;  ;  ;    ;61;140;03;  5.22;IIa    ;NOR;05;24;   36.5; 490;    ;1000;2202;         80
2019;N 0020MS;3YCU  ;01;14;      ;   ;  ;  ;    ;  ;  ;    ;61;140;03;  5.22;IIa    ;NOR;05;24;   36.5; 490;    ;1000;1021;          5
2019;N 0020MS;3YCU  ;01;15;      ;   ;  ;  ;    ;  ;  ;    ;61;140;01;  1.73;IIa    ;NOR;05;24;   36.5; 490;    ;1000;1022;        200
2019;N 0020MS;3YCU  ;01;15;      ;   ;  ;  ;    ;  ;  ;    ;61;140;01;  1.73;IIa    ;NOR;05;24;   36.5; 490;    ;1000;1023;          4
2019;N 0020MS;3YCU  ;01;15;      ;   ;  ;  ;    ;  ;  ;    ;61;140;01;  1.73;IIa    ;NOR;05;24;   36.5; 490;    ;1000;1032;       1200
2019;N 0020MS;3YCU  ;01;17;      ;   ;  ;  ;    ;  ;  ;    ;61;140;04;  7.75;IIa    ;NOR;05;24;   36.5; 490;    ;1000;1022;       2000
2019;N 0020MS;3YCU  ;01;17;      ;   ;  ;  ;    ;  ;  ;    ;61;140;04;  7.75;IIa    ;NOR;05;24;   36.5; 490;    ;1000;1023;         30
2019;N 0020MS;3YCU  ;01;17;      ;   ;  ;  ;    ;  ;  ;    ;61;140;04;  7.75;IIa    ;NOR;05;24;   36.5; 490;    ;1000;1032;      29500
2019;N 0020MS;3YCU  ;01;18;      ;   ;  ;  ;    ;  ;  ;    ;61;140;03;   5.1;IIa    ;NOR;05;24;   36.5; 490;    ;1000;1022;        600
2019;N 0020MS;3YCU  ;01;18;      ;   ;  ;  ;    ;  ;  ;    ;61;140;03;   5.1;IIa    ;NOR;05;24;   36.5; 490;    ;1000;1023;         30
2019;N 0020MS;3YCU  ;01;18;      ;   ;  ;  ;    ;  ;  ;    ;61;140;03;   5.1;IIa    ;NOR;05;24;   36.5; 490;    ;1000;1032;      20600
2019;N 0020MS;3YCU  ;01;18;      ;   ;  ;  ;    ;  ;  ;    ;61;140;03;   5.1;IIa    ;NOR;05;24;   36.5; 490;    ;1000;1021;         15
2019;N 0020MS;3YCU  ;01;19;      ;   ;  ;  ;    ;  ;  ;    ;61;140;03;  5.23;IIa    ;NOR;05;24;   36.5; 490;    ;1000;1022;       1050
2019;N 0020MS;3YCU  ;01;19;      ;   ;  ;  ;    ;  ;  ;    ;61;140;03;  5.23;IIa    ;NOR;05;24;   36.5; 490;    ;1000;1023;         30
2019;N 0020MS;3YCU  ;01;19;      ;   ;  ;  ;    ;  ;  ;    ;61;140;03;  5.23;IIa    ;NOR;05;24;   36.5; 490;    ;1000;1032;      11500
2019;N 0020MS;3YCU  ;01;19;      ;   ;  ;  ;    ;  ;  ;    ;61;140;03;  5.23;IIa    ;NOR;05;24;   36.5; 490;    ;1000;1021;          5
2019;N 0020MS;3YCU  ;01;20;      ;   ;  ;  ;    ;  ;  ;    ;61;140;02;   3.2;IIa    ;NOR;05;24;   36.5; 490;    ;1000;1022;        150
2019;N 0020MS;3YCU  ;01;20;      ;   ;  ;  ;    ;  ;  ;    ;61;140;02;   3.2;IIa    ;NOR;05;24;   36.5; 490;    ;1000;1032;       5300
2019;N 0020MS;3YCU  ;01;20;      ;   ;  ;  ;    ;  ;  ;    ;61;140;02;   3.2;IIa    ;NOR;05;24;   36.5; 490;    ;1000;1023;         12
2019;N 0020MS;3YCU  ;01;20;      ;   ;  ;  ;    ;  ;  ;    ;61;140;02;   3.2;IIa    ;NOR;05;24;   36.5; 490;    ;1000;1021;          8
2019;N 0020MS;3YCU  ;01;21;      ;   ;  ;  ;    ;  ;  ;    ;61;140;05;  9.38;IIa    ;NOR;05;24;   36.5; 490;    ;1000;1022;       1350
2019;N 0020MS;3YCU  ;01;21;      ;   ;  ;  ;    ;  ;  ;    ;61;140;05;  9.38;IIa    ;NOR;05;24;   36.5; 490;    ;1000;1032;      17400
2019;N 0020MS;3YCU  ;01;21;      ;   ;  ;  ;    ;  ;  ;    ;61;140;05;  9.38;IIa    ;NOR;05;24;   36.5; 490;    ;1000;1023;         50
2019;N 0020MS;3YCU  ;01;21;      ;   ;  ;  ;    ;  ;  ;    ;61;140;05;  9.38;IIa    ;NOR;05;24;   36.5; 490;    ;1000;1021;         18
2019;N 0020MS;3YCU  ;01;22;      ;   ;  ;  ;    ;  ;  ;    ;61;140;04;  7.23;IIa    ;NOR;05;24;   36.5; 490;    ;1000;1022;       2950
2019;N 0020MS;3YCU  ;01;22;      ;   ;  ;  ;    ;  ;  ;    ;61;140;04;  7.23;IIa    ;NOR;05;24;   36.5; 490;    ;1000;1023;         15
2019;N 0020MS;3YCU  ;01;22;      ;   ;  ;  ;    ;  ;  ;    ;61;140;04;  7.23;IIa    ;NOR;05;24;   36.5; 490;    ;1000;1032;      13600
2019;N 0020MS;3YCU  ;01;22;      ;   ;  ;  ;    ;  ;  ;    ;61;140;04;  7.23;IIa    ;NOR;05;24;   36.5; 490;    ;1000;1021;          5
2019;N 0020MS;3YCU  ;01;23;      ;   ;  ;  ;    ;  ;  ;    ;61;140;02;     4;IIa    ;NOR;05;24;   36.5; 490;    ;1000;1022;       1550
2019;N 0020MS;3YCU  ;01;23;      ;   ;  ;  ;    ;  ;  ;    ;61;140;02;     4;IIa    ;NOR;05;24;   36.5; 490;    ;1000;1032;      14400
2019;N 0020MS;3YCU  ;01;23;      ;   ;  ;  ;    ;  ;  ;    ;61;140;02;     4;IIa    ;NOR;05;24;   36.5; 490;    ;1000;1023;         10
2019;N 0020MS;3YCU  ;01;23;      ;   ;  ;  ;    ;  ;  ;    ;61;140;02;     4;IIa    ;NOR;05;24;   36.5; 490;    ;1000;2202;         15
2019;N 0020MS;3YCU  ;01;24;      ;   ;  ;  ;    ;  ;  ;    ;61;140;01;  2.03;IIa    ;NOR;05;24;   36.5; 490;    ;1000;1022;        150
2019;N 0020MS;3YCU  ;01;24;      ;   ;  ;  ;    ;  ;  ;    ;61;140;01;  2.03;IIa    ;NOR;05;24;   36.5; 490;    ;1000;1023;          1
2019;N 0020MS;3YCU  ;01;24;      ;   ;  ;  ;    ;  ;  ;    ;61;140;01;  2.03;IIa    ;NOR;05;24;   36.5; 490;    ;1000;1032;       7300
2019;N 0020MS;3YCU  ;01;24;      ;   ;  ;  ;    ;  ;  ;    ;61;140;01;  2.03;IIa    ;NOR;05;24;   36.5; 490;    ;1000;1021;          5
2019;N 0020MS;3YCU  ;01;25;      ;   ;  ;  ;    ;  ;  ;    ;61;140;02;  3.65;IIa    ;NOR;05;24;   36.5; 490;    ;1000;1022;        400
2019;N 0020MS;3YCU  ;01;25;      ;   ;  ;  ;    ;  ;  ;    ;61;140;02;  3.65;IIa    ;NOR;05;24;   36.5; 490;    ;1000;1032;       8900
2019;N 0020MS;3YCU  ;01;25;      ;   ;  ;  ;    ;  ;  ;    ;61;140;02;  3.65;IIa    ;NOR;05;24;   36.5; 490;    ;1000;1023;          4
2019;N 0020MS;3YCU  ;01;26;      ;   ;  ;  ;    ;  ;  ;    ;61;140;06; 11.37;IIa    ;NOR;05;24;   36.5; 490;    ;1000;1022;      15000
2019;N 0020MS;3YCU  ;01;26;      ;   ;  ;  ;    ;  ;  ;    ;61;140;06; 11.37;IIa    ;NOR;05;24;   36.5; 490;    ;1000;1032;      35000
2019;N 0020MS;3YCU  ;01;26;      ;   ;  ;  ;    ;  ;  ;    ;61;140;06; 11.37;IIa    ;NOR;05;24;   36.5; 490;    ;1000;1023;         15
2019;N 0020MS;3YCU  ;01;27;      ;   ;  ;  ;    ;  ;  ;    ;61;140;03;  5.77;IIa    ;NOR;05;24;   36.5; 490;    ;1000;1022;       5500
2019;N 0020MS;3YCU  ;01;27;      ;   ;  ;  ;    ;  ;  ;    ;61;140;03;  5.77;IIa    ;NOR;05;24;   36.5; 490;    ;1000;1032;      14000
2019;N 0020MS;3YCU  ;01;28;      ;   ;  ;  ;    ;  ;  ;    ;61;140;03;  6.32;IIa    ;NOR;05;24;   36.5; 490;    ;1000;1022;       3300
2019;N 0020MS;3YCU  ;01;28;      ;   ;  ;  ;    ;  ;  ;    ;61;140;03;  6.32;IIa    ;NOR;05;24;   36.5; 490;    ;1000;1032;      13500
